cyear,city,country,city_avg_temp,gyear,gavg_temp,city_mavg_temp,mavg_temp
1750,Berlin,Germany,9.83,1750,8.72,,
1751,Berlin,Germany,9.75,1751,7.98,,
1752,Berlin,Germany,4.84,1752,5.78,,
1753,Berlin,Germany,8.72,1753,8.39,,
1754,Berlin,Germany,8.49,1754,8.47,,
1755,Berlin,Germany,8.26,1755,8.36,,
1756,Berlin,Germany,9.62,1756,8.85,,
1757,Berlin,Germany,9.15,1757,9.02,,
1758,Berlin,Germany,8.25,1758,6.74,,
1759,Berlin,Germany,9.04,1759,7.99,8.595,8.03
1760,Berlin,Germany,8.99,1760,7.19,8.511,7.877
1761,Berlin,Germany,9.47,1761,8.77,8.483,7.956
1762,Berlin,Germany,8.53,1762,8.61,8.852,8.239
1763,Berlin,Germany,8.62,1763,7.5,8.842,8.15
1764,Berlin,Germany,8.91,1764,8.4,8.884,8.143
1765,Berlin,Germany,8.54,1765,8.25,8.912,8.132
1766,Berlin,Germany,8.87,1766,8.41,8.837,8.088
1767,Berlin,Germany,8.14,1767,8.22,8.736,8.008
1768,Berlin,Germany,8.03,1768,6.78,8.714,8.012
1769,Berlin,Germany,8.46,1769,7.69,8.656,7.982
1770,Berlin,Germany,8.5,1770,7.69,8.607,8.032
1771,Berlin,Germany,7.45,1771,7.85,8.405,7.94
1772,Berlin,Germany,9.13,1772,8.19,8.465,7.898
1773,Berlin,Germany,9.52,1773,8.22,8.555,7.97
1774,Berlin,Germany,8.46,1774,8.77,8.51,8.007
1775,Berlin,Germany,10.1,1775,9.18,8.666,8.1
1776,Berlin,Germany,8.36,1776,8.3,8.615,8.089
1777,Berlin,Germany,8.29,1777,8.26,8.63,8.093
1778,Berlin,Germany,9.43,1778,8.54,8.77,8.269
1779,Berlin,Germany,10.47,1779,8.98,8.971,8.398
1780,Berlin,Germany,8.78,1780,9.43,8.999,8.572
1781,Berlin,Germany,9.98,1781,8.1,9.252,8.597
1782,Berlin,Germany,8.61,1782,7.9,9.2,8.568
1783,Berlin,Germany,9.76,1783,7.68,9.224,8.514
1784,Berlin,Germany,7.67,1784,7.86,9.145,8.423
1785,Berlin,Germany,7.42,1785,7.36,8.877,8.241
1786,Berlin,Germany,7.68,1786,8.26,8.809,8.237
1787,Berlin,Germany,9.27,1787,8.03,8.907,8.214
1788,Berlin,Germany,8.33,1788,8.45,8.797,8.205
1789,Berlin,Germany,8.99,1789,8.33,8.649,8.14
1790,Berlin,Germany,9.09,1790,7.98,8.68,7.995
1791,Berlin,Germany,9.55,1791,8.23,8.637,8.008
1792,Berlin,Germany,8.9,1792,8.09,8.666,8.027
1793,Berlin,Germany,9.18,1793,8.23,8.608,8.082
1794,Berlin,Germany,10.02,1794,8.53,8.843,8.149
1795,Berlin,Germany,8.87,1795,8.35,8.988,8.248
1796,Berlin,Germany,9.01,1796,8.27,9.121,8.249
1797,Berlin,Germany,10.07,1797,8.51,9.201,8.297
1798,Berlin,Germany,9.33,1798,8.67,9.301,8.319
1799,Berlin,Germany,6.72,1799,8.51,9.074,8.337
1800,Berlin,Germany,8.6,1800,8.48,9.025,8.387
1801,Berlin,Germany,9.61,1801,8.59,9.031,8.423
1802,Berlin,Germany,9.08,1802,8.58,9.049,8.472
1803,Berlin,Germany,8.02,1803,8.5,8.933,8.499
1804,Berlin,Germany,8.36,1804,8.84,8.767,8.53
1805,Berlin,Germany,7.2,1805,8.56,8.6,8.551
1806,Berlin,Germany,9.67,1806,8.43,8.666,8.567
1807,Berlin,Germany,9.42,1807,8.28,8.601,8.544
1808,Berlin,Germany,8.15,1808,7.63,8.483,8.44
1809,Berlin,Germany,8.66,1809,7.08,8.677,8.297
1810,Berlin,Germany,8.46,1810,6.92,8.663,8.141
1811,Berlin,Germany,9.93,1811,6.86,8.695,7.968
1812,Berlin,Germany,7.35,1812,7.05,8.522,7.815
1813,Berlin,Germany,8.66,1813,7.74,8.586,7.739
1814,Berlin,Germany,7.46,1814,7.59,8.496,7.614
1815,Berlin,Germany,8.38,1815,7.24,8.614,7.482
1816,Berlin,Germany,7.75,1816,6.94,8.422,7.333
1817,Berlin,Germany,8.92,1817,6.98,8.372,7.203
1818,Berlin,Germany,9,1818,7.83,8.457,7.223
1819,Berlin,Germany,9.43,1819,7.37,8.534,7.252
1820,Berlin,Germany,7.86,1820,7.62,8.474,7.322
1821,Berlin,Germany,9.15,1821,8.09,8.396,7.445
1822,Berlin,Germany,10.05,1822,8.19,8.666,7.559
1823,Berlin,Germany,8.26,1823,7.72,8.626,7.557
1824,Berlin,Germany,9.61,1824,8.55,8.841,7.653
1825,Berlin,Germany,9.32,1825,8.39,8.935,7.768
1826,Berlin,Germany,9.35,1826,8.36,9.095,7.91
1827,Berlin,Germany,8.99,1827,8.81,9.102,8.093
1828,Berlin,Germany,8.94,1828,8.17,9.096,8.127
1829,Berlin,Germany,6.52,1829,7.94,8.805,8.184
1830,Berlin,Germany,8.08,1830,8.52,8.827,8.274
1831,Berlin,Germany,8.93,1831,7.64,8.805,8.229
1832,Berlin,Germany,8.34,1832,7.45,8.634,8.155
1833,Berlin,Germany,8.89,1833,8.01,8.697,8.184
1834,Berlin,Germany,10.4,1834,8.15,8.776,8.144
1835,Berlin,Germany,8.81,1835,7.39,8.725,8.044
1836,Berlin,Germany,8.88,1836,7.7,8.678,7.978
1837,Berlin,Germany,8.12,1837,7.38,8.591,7.835
1838,Berlin,Germany,6.98,1838,7.51,8.395,7.769
1839,Berlin,Germany,8.63,1839,7.63,8.606,7.738
1840,Berlin,Germany,7.74,1840,7.8,8.572,7.666
1841,Berlin,Germany,9.06,1841,7.69,8.585,7.671
1842,Berlin,Germany,8.51,1842,8.02,8.602,7.728
1843,Berlin,Germany,9.18,1843,8.17,8.631,7.744
1844,Berlin,Germany,7.85,1844,7.65,8.376,7.694
1845,Berlin,Germany,7.92,1845,7.85,8.287,7.74
1846,Berlin,Germany,9.84,1846,8.55,8.383,7.825
1847,Berlin,Germany,8.24,1847,8.09,8.395,7.896
1848,Berlin,Germany,8.75,1848,7.98,8.572,7.943
1849,Berlin,Germany,8.03,1849,7.98,8.512,7.978
1850,Berlin,Germany,8.2,1850,7.9,8.558,7.988
1851,Berlin,Germany,8.5,1851,8.18,8.502,8.037
1852,Berlin,Germany,9.54,1852,8.1,8.605,8.045
1853,Berlin,Germany,7.55,1853,8.04,8.442,8.032
1854,Berlin,Germany,8.69,1854,8.21,8.526,8.088
1855,Berlin,Germany,7.07,1855,8.11,8.441,8.114
1856,Berlin,Germany,8.5,1856,8,8.307,8.059
1857,Berlin,Germany,9.39,1857,7.76,8.422,8.026
1858,Berlin,Germany,7.97,1858,8.1,8.344,8.038
1859,Berlin,Germany,9.6,1859,8.25,8.501,8.065
1860,Berlin,Germany,8,1860,7.96,8.481,8.071
1861,Berlin,Germany,8.87,1861,7.85,8.518,8.038
1862,Berlin,Germany,8.91,1862,7.56,8.455,7.984
1863,Berlin,Germany,9.81,1863,8.11,8.681,7.991
1864,Berlin,Germany,6.99,1864,7.98,8.511,7.968
1865,Berlin,Germany,8.88,1865,8.18,8.692,7.975
1866,Berlin,Germany,9.44,1866,8.29,8.786,8.004
1867,Berlin,Germany,8.41,1867,8.44,8.688,8.072
1868,Berlin,Germany,10.24,1868,8.25,8.915,8.087
1869,Berlin,Germany,9.06,1869,8.43,8.861,8.105
1870,Berlin,Germany,7.57,1870,8.2,8.818,8.129
1871,Berlin,Germany,7.08,1871,8.12,8.639,8.156
1872,Berlin,Germany,9.97,1872,8.19,8.745,8.219
1873,Berlin,Germany,9.27,1873,8.35,8.691,8.243
1874,Berlin,Germany,9.08,1874,8.43,8.9,8.288
1875,Berlin,Germany,8.04,1875,7.86,8.816,8.256
1876,Berlin,Germany,8.64,1876,8.08,8.736,8.235
1877,Berlin,Germany,8.95,1877,8.54,8.79,8.245
1878,Berlin,Germany,9.38,1878,8.83,8.704,8.303
1879,Berlin,Germany,7.46,1879,8.17,8.544,8.277
1880,Berlin,Germany,9.08,1880,8.12,8.695,8.269
1881,Berlin,Germany,7.75,1881,8.27,8.762,8.284
1882,Berlin,Germany,9.28,1882,8.13,8.693,8.278
1883,Berlin,Germany,8.54,1883,7.98,8.62,8.241
1884,Berlin,Germany,9.2,1884,7.77,8.632,8.175
1885,Berlin,Germany,8.47,1885,7.92,8.675,8.181
1886,Berlin,Germany,8.55,1886,7.95,8.666,8.168
1887,Berlin,Germany,7.93,1887,7.91,8.564,8.105
1888,Berlin,Germany,7.61,1888,8.09,8.387,8.031
1889,Berlin,Germany,8.34,1889,8.32,8.475,8.046
1890,Berlin,Germany,8.35,1890,7.97,8.402,8.031
1891,Berlin,Germany,8.48,1891,8.02,8.475,8.006
1892,Berlin,Germany,8.28,1892,8.07,8.375,8
1893,Berlin,Germany,8.5,1893,8.06,8.371,8.008
1894,Berlin,Germany,8.96,1894,8.16,8.347,8.047
1895,Berlin,Germany,8.28,1895,8.15,8.328,8.07
1896,Berlin,Germany,8.57,1896,8.21,8.33,8.096
1897,Berlin,Germany,8.69,1897,8.29,8.406,8.134
1898,Berlin,Germany,9.42,1898,8.18,8.587,8.143
1899,Berlin,Germany,8.96,1899,8.4,8.649,8.151
1900,Berlin,Germany,9.16,1900,8.5,8.73,8.204
1901,Berlin,Germany,8.58,1901,8.54,8.74,8.256
1902,Berlin,Germany,7.63,1902,8.3,8.675,8.279
1903,Berlin,Germany,9.28,1903,8.22,8.753,8.295
1904,Berlin,Germany,9.15,1904,8.09,8.772,8.288
1905,Berlin,Germany,8.9,1905,8.23,8.834,8.296
1906,Berlin,Germany,9.31,1906,8.38,8.908,8.313
1907,Berlin,Germany,8.52,1907,7.95,8.891,8.279
1908,Berlin,Germany,8.35,1908,8.19,8.784,8.28
1909,Berlin,Germany,8.16,1909,8.18,8.704,8.258
1910,Berlin,Germany,9.33,1910,8.22,8.721,8.23
1911,Berlin,Germany,9.89,1911,8.18,8.852,8.194
1912,Berlin,Germany,8.49,1912,8.17,8.938,8.181
1913,Berlin,Germany,9.41,1913,8.3,8.951,8.189
1914,Berlin,Germany,9.5,1914,8.59,8.986,8.239
1915,Berlin,Germany,8.56,1915,8.59,8.952,8.275
1916,Berlin,Germany,9.3,1916,8.23,8.951,8.26
1917,Berlin,Germany,8.39,1917,8.02,8.938,8.267
1918,Berlin,Germany,9.42,1918,8.13,9.045,8.261
1919,Berlin,Germany,8,1919,8.38,9.029,8.281
1920,Berlin,Germany,9.37,1920,8.36,9.033,8.295
1921,Berlin,Germany,9.78,1921,8.57,9.022,8.334
1922,Berlin,Germany,7.76,1922,8.41,8.949,8.358
1923,Berlin,Germany,8.58,1923,8.42,8.866,8.37
1924,Berlin,Germany,8.3,1924,8.51,8.746,8.362
1925,Berlin,Germany,9.32,1925,8.53,8.822,8.356
1926,Berlin,Germany,9.57,1926,8.73,8.849,8.406
1927,Berlin,Germany,8.72,1927,8.52,8.882,8.456
1928,Berlin,Germany,8.92,1928,8.63,8.832,8.506
1929,Berlin,Germany,7.99,1929,8.24,8.831,8.492
1930,Berlin,Germany,9.48,1930,8.63,8.842,8.519
1931,Berlin,Germany,8.35,1931,8.72,8.699,8.534
1932,Berlin,Germany,9.23,1932,8.71,8.846,8.564
1933,Berlin,Germany,8.32,1933,8.34,8.82,8.556
1934,Berlin,Germany,10.69,1934,8.63,9.059,8.568
1935,Berlin,Germany,9.34,1935,8.52,9.061,8.567
1936,Berlin,Germany,9.3,1936,8.55,9.034,8.549
1937,Berlin,Germany,9.41,1937,8.7,9.103,8.567
1938,Berlin,Germany,9.77,1938,8.86,9.188,8.59
1939,Berlin,Germany,9.32,1939,8.76,9.321,8.642
1940,Berlin,Germany,7.04,1940,8.76,9.077,8.655
1941,Berlin,Germany,7.62,1941,8.77,9.004,8.66
1942,Berlin,Germany,7.8,1942,8.73,8.861,8.662
1943,Berlin,Germany,9.67,1943,8.76,8.996,8.704
1944,Berlin,Germany,9.31,1944,8.85,8.858,8.726
1945,Berlin,Germany,9.64,1945,8.58,8.888,8.732
1946,Berlin,Germany,9.12,1946,8.68,8.87,8.745
1947,Berlin,Germany,8.79,1947,8.8,8.808,8.755
1948,Berlin,Germany,9.96,1948,8.75,8.827,8.744
1949,Berlin,Germany,10.04,1949,8.59,8.899,8.727
1950,Berlin,Germany,9.37,1950,8.37,9.132,8.688
1951,Berlin,Germany,9.72,1951,8.63,9.342,8.674
1952,Berlin,Germany,8.61,1952,8.64,9.423,8.665
1953,Berlin,Germany,10.13,1953,8.87,9.469,8.676
1954,Berlin,Germany,8.41,1954,8.56,9.379,8.647
1955,Berlin,Germany,8.36,1955,8.63,9.251,8.652
1956,Berlin,Germany,7.57,1956,8.28,9.096,8.612
1957,Berlin,Germany,9.46,1957,8.73,9.163,8.605
1958,Berlin,Germany,9.05,1958,8.77,9.072,8.607
1959,Berlin,Germany,9.88,1959,8.73,9.056,8.621
1960,Berlin,Germany,9.22,1960,8.58,9.041,8.642
1961,Berlin,Germany,9.81,1961,8.8,9.05,8.659
1962,Berlin,Germany,8.13,1962,8.75,9.002,8.67
1963,Berlin,Germany,8.12,1963,8.86,8.801,8.669
1964,Berlin,Germany,8.84,1964,8.41,8.844,8.654
1965,Berlin,Germany,8.33,1965,8.53,8.841,8.644
1966,Berlin,Germany,9.34,1966,8.6,9.018,8.676
1967,Berlin,Germany,10.08,1967,8.7,9.08,8.673
1968,Berlin,Germany,9.28,1968,8.52,9.103,8.648
1969,Berlin,Germany,8.43,1969,8.6,8.958,8.635
1970,Berlin,Germany,8.43,1970,8.7,8.879,8.647
1971,Berlin,Germany,9.54,1971,8.6,8.852,8.627
1972,Berlin,Germany,8.88,1972,8.5,8.927,8.602
1973,Berlin,Germany,9.24,1973,8.95,9.039,8.611
1974,Berlin,Germany,9.89,1974,8.47,9.144,8.617
1975,Berlin,Germany,10.08,1975,8.74,9.319,8.638
1976,Berlin,Germany,9.15,1976,8.35,9.3,8.613
1977,Berlin,Germany,9.54,1977,8.85,9.246,8.628
1978,Berlin,Germany,8.86,1978,8.69,9.204,8.645
1979,Berlin,Germany,8.53,1979,8.73,9.214,8.658
1980,Berlin,Germany,8.26,1980,8.98,9.197,8.686
1981,Berlin,Germany,9.18,1981,9.17,9.161,8.743
1982,Berlin,Germany,10.08,1982,8.64,9.281,8.757
1983,Berlin,Germany,10.21,1983,9.03,9.378,8.765
1984,Berlin,Germany,8.94,1984,8.69,9.283,8.787
1985,Berlin,Germany,8.46,1985,8.66,9.121,8.779
1986,Berlin,Germany,8.78,1986,8.83,9.084,8.827
1987,Berlin,Germany,8.09,1987,8.99,8.939,8.841
1988,Berlin,Germany,10.02,1988,9.2,9.055,8.892
1989,Berlin,Germany,10.72,1989,8.92,9.274,8.911
1990,Berlin,Germany,10.71,1990,9.23,9.519,8.936
1991,Berlin,Germany,9.36,1991,9.18,9.537,8.937
1992,Berlin,Germany,10.38,1992,8.84,9.567,8.957
1993,Berlin,Germany,9.34,1993,8.87,9.48,8.941
1994,Berlin,Germany,10.43,1994,9.04,9.629,8.976
1995,Berlin,Germany,9.75,1995,9.35,9.758,9.045
1996,Berlin,Germany,7.88,1996,9.04,9.668,9.066
1997,Berlin,Germany,9.73,1997,9.2,9.832,9.087
1998,Berlin,Germany,10.05,1998,9.52,9.835,9.119
1999,Berlin,Germany,10.58,1999,9.29,9.821,9.156
2000,Berlin,Germany,10.96,2000,9.2,9.846,9.153
2001,Berlin,Germany,9.69,2001,9.41,9.879,9.176
2002,Berlin,Germany,10.26,2002,9.57,9.867,9.249
2003,Berlin,Germany,10.07,2003,9.53,9.94,9.315
2004,Berlin,Germany,9.82,2004,9.32,9.879,9.343
2005,Berlin,Germany,9.92,2005,9.7,9.896,9.378
